Advertising_Spend,Sales,Website_Traffic,Customer_Satisfaction,Product_Quality,Return_Rate,Discount_Offered,Employee_Productivity,Social_Media_Engagement,Market_Share
100,20,1500,7.5,8.0,5.0,10,80,300,5
200,45,2500,8.0,8.2,4.8,12,82,450,8
300,50,3000,7.8,8.1,4.7,15,83,500,9
400,80,4000,8.2,8.4,4.5,18,85,650,12
500,100,4800,8.5,8.5,4.4,20,87,800,15
600,130,5500,8.7,8.7,4.3,22,88,950,18
700,150,6000,8.8,8.9,4.1,25,90,1100,20
800,170,6500,9.0,9.0,4.0,28,91,1250,22
900,190,7000,9.1,9.1,3.9,30,93,1400,24
1000,210,7500,9.3,9.3,3.8,35,95,1550,26
