Date,Product,Category,Quantity,Price,Discount
2023-04-13,Product_40,Books,15.0,483.59,0.29
2023-06-29,Product_83,Books,,116.03,0.29
2023-04-03,Product_42,Electronics,15.0,333.21,0.12
2023-01-15,Product_41,Clothing,14.0,372.24,0.22
2023-04-17,Product_6,Clothing,9.0,424.97,0.1
2023-03-13,Product_52,Books,8.0,214.2,0.2
2023-07-08,Product_26,Electronics,17.0,154.95,0.24
2023-01-21,Product_64,Clothing,2.0,166.02,0.28
2023-04-13,Product_98,Electronics,3.0,357.75,0.12
2023-05-02,Product_59,Electronics,8.0,409.31,0.23
2023-03-16,Product_56,Electronics,12.0,94.9,0.08
2023-03-29,Product_59,Toys,1.0,188.62,0.3
2023-04-27,Product_70,Electronics,10.0,451.46,0.01
2023-04-10,Product_33,Toys,3.0,404.31,0.18
2023-04-14,Product_53,Books,6.0,492.5,0.2
2023-06-01,Product_22,Clothing,7.0,378.35,0.21
2023-05-11,Product_21,Clothing,18.0,199.63,0.04
2023-05-30,Product_70,Clothing,11.0,297.37,0.28
2023-02-22,Product_70,Clothing,19.0,332.2,0.05
2023-01-02,Product_4,Clothing,5.0,43.84,0.19
2023-03-29,Product_94,Clothing,,274.53,0.07
2023-06-07,Product_75,Clothing,11.0,356.11,0.09
2023-02-07,,Books,12.0,87.82,0.16
2023-05-10,Product_62,Electronics,10.0,391.41,0.13
2023-07-11,Product_94,Home & Kitchen,8.0,293.97,0.05
2023-07-07,Product_95,Toys,9.0,476.35,0.05
2023-01-21,Product_24,Home & Kitchen,,26.0,0.13
2023-06-10,Product_55,Home & Kitchen,5.0,136.34,0.23
2023-02-27,Product_9,Electronics,8.0,302.77,0.27
2023-01-22,Product_3,Electronics,9.0,151.8,0.03
2023-03-30,Product_31,Electronics,15.0,358.64,0.12
2023-02-18,,Clothing,15.0,380.71,0.03
2023-02-28,Product_36,Books,16.0,55.75,0.0
2023-06-19,Product_24,Clothing,14.0,259.36,0.2
2023-07-07,Product_95,Books,8.0,256.9,0.18
2023-01-15,Product_6,Books,18.0,187.79,0.05
2023-07-09,Product_66,Home & Kitchen,10.0,466.8,0.07
2023-07-09,Product_84,Home & Kitchen,6.0,414.62,0.01
2023-06-24,Product_92,Books,12.0,350.12,0.25
2023-07-09,Product_75,Books,,358.59,0.29
2023-02-20,Product_4,Clothing,7.0,233.55,0.04
2023-04-18,Product_79,Clothing,16.0,460.89,0.07
2023-02-24,Product_6,Home & Kitchen,3.0,348.82,0.26
2023-03-05,Product_94,Electronics,13.0,365.85,0.28
2023-05-11,Product_51,Books,3.0,431.54,0.13
2023-02-20,Product_62,Clothing,18.0,140.67,0.02
2023-05-15,Product_57,Home & Kitchen,11.0,404.5,0.01
2023-01-21,Product_66,Clothing,8.0,101.64,0.17
2023-03-14,Product_79,Books,6.0,175.94,0.12
2023-06-16,,Books,,171.13,0.01
2023-01-18,Product_8,Toys,1.0,489.37,0.17
2023-05-12,Product_26,Electronics,8.0,428.99,0.0
2023-03-30,Product_51,Toys,5.0,352.08,0.24
2023-03-01,Product_45,Home & Kitchen,16.0,364.89,0.09
2023-01-14,Product_44,Clothing,11.0,283.23,0.01
2023-01-09,Product_5,Home & Kitchen,5.0,473.81,0.18
2023-03-31,Product_70,Books,4.0,250.65,0.12
2023-02-22,Product_26,Toys,6.0,193.36,0.29
2023-05-10,Product_68,Toys,14.0,85.7,0.16
2023-03-25,,Toys,19.0,394.17,0.08
2023-04-02,Product_84,Home & Kitchen,,368.55,0.21
2023-04-21,Product_97,Books,12.0,195.26,0.08
2023-07-07,Product_20,Clothing,11.0,17.47,0.27
2023-07-18,Product_12,Clothing,14.0,420.3,0.11
2023-06-21,,Home & Kitchen,16.0,10.65,0.16
2023-01-08,Product_1,Toys,1.0,353.33,0.02
2023-06-24,Product_90,Electronics,,485.28,0.13
2023-02-04,Product_14,Home & Kitchen,13.0,221.64,0.25
2023-03-22,Product_64,Home & Kitchen,2.0,121.31,0.24
2023-06-13,Product_38,Books,4.0,353.91,0.07
2023-02-19,Product_37,Clothing,6.0,409.48,0.07
2023-04-14,Product_11,Home & Kitchen,5.0,275.48,0.25
2023-05-12,Product_100,Home & Kitchen,3.0,483.68,0.28
2023-01-02,Product_77,Toys,1.0,30.58,0.03
2023-05-14,Product_3,Toys,4.0,254.87,0.14
2023-02-23,Product_33,Electronics,2.0,360.63,0.1
2023-04-16,Product_6,Books,5.0,432.01,0.26
2023-01-04,Product_50,Electronics,3.0,93.73,0.03
2023-02-23,Product_10,Toys,9.0,401.0,0.06
2023-07-10,Product_5,Clothing,6.0,278.59,0.23
2023-05-26,Product_23,Toys,18.0,201.29,0.02
2023-02-13,Product_10,Books,6.0,70.2,0.15
2023-06-11,,Toys,19.0,433.32,0.13
2023-07-09,Product_2,Books,12.0,82.85,0.1
2023-01-14,Product_13,Books,11.0,158.34,0.12
2023-04-05,Product_40,Books,2.0,148.57,0.16
2023-02-17,Product_2,Books,15.0,436.35,0.05
2023-01-15,Product_84,Books,12.0,337.99,0.17
2023-07-19,Product_65,Clothing,12.0,399.36,0.24
2023-07-09,Product_63,Electronics,9.0,128.98,0.23
2023-02-09,Product_73,Home & Kitchen,2.0,314.31,0.05
2023-03-23,Product_17,Electronics,3.0,288.01,0.04
2023-04-21,Product_9,Books,12.0,417.25,0.08
2023-02-22,Product_75,Clothing,16.0,453.51,0.11
2023-01-24,Product_15,Toys,1.0,11.02,0.12
2023-06-03,Product_24,Clothing,3.0,338.64,0.2
2023-07-07,Product_38,Books,2.0,30.66,0.02
2023-05-04,Product_35,Clothing,,276.69,0.01
2023-02-10,Product_94,Clothing,19.0,147.38,0.12
2023-06-06,Product_95,Books,15.0,156.85,0.21
2023-01-15,Product_49,Clothing,18.0,179.71,0.06
2023-02-14,Product_69,Home & Kitchen,11.0,312.54,0.19
2023-03-06,Product_62,Home & Kitchen,16.0,170.35,0.08
2023-03-30,Product_60,Clothing,17.0,367.69,0.27
2023-03-12,Product_50,Toys,5.0,205.24,0.27
2023-01-09,Product_78,Books,12.0,38.83,0.09
2023-03-29,Product_75,Home & Kitchen,11.0,392.96,0.07
2023-05-09,Product_9,Toys,15.0,146.45,0.12
2023-05-16,Product_34,Clothing,3.0,219.22,0.07
2023-03-04,Product_76,Toys,1.0,344.29,0.2
2023-05-19,Product_99,Electronics,16.0,169.57,0.25
2023-03-22,Product_35,Home & Kitchen,2.0,33.01,0.2
2023-05-16,Product_1,,2.0,190.09,0.25
2023-06-12,Product_40,Books,3.0,472.5,0.12
2023-06-12,Product_64,Clothing,8.0,322.66,0.05
2023-02-02,Product_22,Books,15.0,337.38,0.22
2023-05-03,Product_60,Clothing,7.0,317.98,0.11
2023-01-05,Product_64,Toys,6.0,103.5,0.2
2023-02-10,Product_93,Toys,9.0,212.08,0.08
2023-01-28,Product_72,Toys,1.0,376.72,0.02
2023-05-15,Product_11,Electronics,,55.18,0.3
2023-03-13,Product_14,Books,3.0,142.54,0.05
2023-01-12,Product_60,Toys,4.0,141.78,0.3
2023-06-11,Product_30,Electronics,,218.85,0.29
2023-02-02,Product_35,Books,6.0,490.28,0.24
2023-02-17,Product_85,Clothing,15.0,38.41,0.2
2023-05-31,Product_37,Electronics,3.0,261.76,0.17
2023-03-03,Product_5,,14.0,93.79,0.26
2023-02-06,Product_83,Electronics,14.0,485.48,0.09
2023-04-09,Product_78,Electronics,4.0,61.09,0.14
2023-06-21,Product_26,Books,,204.78,0.19
2023-04-14,Product_62,Clothing,17.0,370.25,0.12
2023-02-04,Product_4,Home & Kitchen,7.0,353.75,0.13
2023-07-12,Product_89,Toys,9.0,214.25,0.1
2023-04-11,Product_42,Toys,3.0,176.53,0.17
2023-06-24,,Electronics,13.0,201.82,0.26
2023-05-11,Product_18,Books,15.0,135.82,0.06
2023-01-01,Product_40,Books,18.0,106.64,0.28
2023-01-05,Product_72,Toys,19.0,244.1,0.21
2023-05-22,Product_39,Home & Kitchen,1.0,137.92,0.25
2023-04-13,Product_14,Clothing,6.0,147.29,0.17
2023-01-27,,Home & Kitchen,2.0,330.09,0.23
2023-05-17,Product_51,Clothing,14.0,484.43,0.0
2023-01-15,Product_38,Toys,6.0,303.8,0.25
2023-03-31,Product_97,,14.0,43.1,0.01
2023-02-11,Product_23,Books,4.0,42.41,0.27
2023-05-04,Product_63,Electronics,8.0,475.95,0.3
2023-06-28,Product_15,Electronics,3.0,152.16,0.09
2023-03-04,Product_97,Toys,19.0,50.57,0.06
2023-04-06,Product_25,Books,14.0,301.53,0.23
2023-02-21,Product_17,Home & Kitchen,17.0,313.71,0.08
2023-04-06,Product_97,,8.0,326.01,0.26
2023-05-12,Product_66,Electronics,14.0,137.36,0.03
2023-05-31,Product_78,Electronics,6.0,12.48,0.04
2023-05-23,Product_53,Books,16.0,482.68,0.29
